frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
646,646,88.44,46.78,Clear,1012.97,0.167
651,651,94.92,47.21,Clear,47.26,1.980
656,656,96.25,43.42,Clear,52.57,0.872
661,661,95.27,44.84,Clear,234.57,0.509
666,666,93.70,46.21,Clear,23.45,1.563
671,671,86.67,47.14,Clear,137.75,1.260
676,676,88.58,44.57,Clear,177.01,0.370
681,681,91.09,42.70,Clear,53.58,0.308
686,686,78.56,49.97,Clear,110.48,3.054
691,691,87.02,45.95,Clear,27.88,3.943
696,696,83.68,50.71,Clear,66.23,1.393
701,701,85.74,52.00,Clear,34.99,-0.801
706,706,83.37,51.25,Clear,36.58,2.331
711,711,84.33,52.82,Clear,55.77,-2.586
716,716,87.57,53.85,Clear,54.37,-0.337
721,721,87.34,48.84,Clear,157.50,0.606
726,726,56.43,53.56,Clear,21.91,3.263
731,731,76.60,49.34,Clear,30.86,-1.428
736,736,129.54,63.94,Clear,1865.06,-0.037
741,741,107.89,43.21,Clear,155.74,-0.238
746,746,112.05,41.73,Clear,324.11,-0.116
751,751,109.84,44.51,Clear,185.24,0.284
756,756,108.51,48.09,Clear,228.04,0.381
761,761,104.89,46.51,Clear,113.52,0.802
766,766,106.10,47.69,Clear,332.54,0.000
771,771,107.31,46.16,Clear,159.48,-0.767
776,776,107.33,45.74,Clear,135.95,0.573
781,781,113.63,40.99,Clear,9999.00,-0.024
786,786,115.26,39.67,Clear,9999.00,-0.080
791,791,114.70,38.80,Clear,417.05,-0.251
796,796,114.90,39.35,Clear,90.02,-0.965
801,801,117.39,39.57,Clear,78.95,-0.037
806,806,120.17,35.94,Clear,63.00,0.189
811,811,114.93,36.64,Clear,52.32,-1.417
816,816,111.58,36.33,Clear,31.39,-1.443
821,821,113.40,33.40,Clear,42.93,-1.308
826,826,112.06,27.00,Moderate Fog/Overcast,29.53,1.304
831,831,112.84,26.49,Moderate Fog/Overcast,132.85,1.340
836,836,112.05,26.27,Moderate Fog/Overcast,26.75,2.724
841,841,104.92,38.51,Clear,41.53,4.488
846,846,116.16,31.85,Clear,35.58,-2.437
851,851,114.99,25.29,Moderate Fog/Overcast,35.87,-0.059
856,856,112.40,28.45,Clear,203.29,-0.552
861,861,109.92,33.85,Clear,31.04,-3.244
866,866,109.05,29.80,Clear,133.02,-4.842
871,871,113.12,24.40,Moderate Fog/Overcast,25.72,2.882
876,876,113.00,24.62,Moderate Fog/Overcast,54.40,2.267
881,881,114.78,23.78,Moderate Fog/Overcast,67.31,3.163
886,886,116.73,24.51,Moderate Fog/Overcast,79.69,0.861
891,891,123.60,24.94,Moderate Fog/Overcast,49.31,4.006
896,896,118.99,22.93,Moderate Fog/Overcast,27.90,0.796
901,901,119.90,24.91,Moderate Fog/Overcast,34.40,0.444
906,906,120.72,25.93,Moderate Fog/Overcast,30.68,2.654
911,911,119.06,29.14,Clear,28.42,-1.039
916,916,108.16,39.32,Clear,116.23,-5.910
921,921,105.47,42.93,Clear,37.25,1.660
926,926,102.63,46.18,Clear,30.01,5.430
931,931,112.08,29.78,Clear,35.72,1.305
936,936,114.61,29.20,Clear,65.37,-5.605
941,941,115.62,30.04,Clear,29.00,-0.440
946,946,111.62,32.81,Clear,97.07,-0.605
951,951,110.88,31.84,Clear,32.71,-5.780
956,956,108.03,34.91,Clear,38.06,-6.106
961,961,110.86,33.99,Clear,52.38,-4.071
966,966,109.17,33.19,Clear,32.16,1.481
971,971,109.55,31.86,Clear,39.36,2.885
976,976,110.38,35.04,Clear,176.32,-1.575
981,981,110.97,37.02,Clear,44.98,-4.944
986,986,106.70,36.67,Clear,90.41,-1.786
991,991,108.00,32.44,Clear,25.87,-0.452
996,996,109.60,32.62,Clear,52.58,1.299
1001,1001,113.02,29.55,Clear,69.67,-0.553
1006,1006,115.51,24.47,Moderate Fog/Overcast,33.95,-0.295
1011,1011,114.46,26.54,Moderate Fog/Overcast,73.69,-0.418
1016,1016,112.73,32.56,Clear,28.26,-1.265
1021,1021,108.39,39.36,Clear,35.89,1.780
1026,1026,106.86,36.46,Clear,30.33,-3.688
1031,1031,108.71,33.60,Clear,45.50,0.780
1036,1036,106.37,35.15,Clear,117.01,1.050
1041,1041,107.39,34.16,Clear,122.76,3.794
1046,1046,108.33,33.69,Clear,74.01,1.071
1051,1051,109.81,33.67,Clear,277.84,-1.453
1056,1056,111.02,31.05,Clear,44.76,1.995
1061,1061,111.62,32.86,Clear,40.68,3.145
1066,1066,113.23,27.04,Moderate Fog/Overcast,42.88,-2.115
1071,1071,114.83,22.67,Moderate Fog/Overcast,35.11,1.767
1076,1076,113.67,26.30,Moderate Fog/Overcast,27.47,2.589
1081,1081,112.02,29.76,Clear,91.33,0.340
1086,1086,110.76,33.91,Clear,51.79,5.512
1091,1091,108.34,36.66,Clear,28.20,1.966
1096,1096,100.11,43.48,Clear,31.61,0.193
1101,1101,104.98,41.73,Clear,79.65,4.111
1106,1106,108.65,34.67,Clear,35.35,4.591
1111,1111,113.30,25.84,Moderate Fog/Overcast,117.64,1.097
1116,1116,112.45,26.12,Moderate Fog/Overcast,71.05,-8.274
1121,1121,112.13,26.66,Moderate Fog/Overcast,763.00,-2.950
1126,1126,114.12,25.62,Moderate Fog/Overcast,26.39,-3.630
1131,1131,112.04,40.53,Clear,43.17,-0.272
