frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
641,641,118.15,44.03,Clear,49.82,-0.312
646,646,117.40,45.30,Clear,44.90,-2.136
651,651,117.07,45.26,Clear,85.01,-0.797
656,656,117.27,45.65,Clear,59.93,-0.046
661,661,117.04,45.88,Clear,35.08,-0.819
666,666,116.63,45.76,Clear,32.39,-0.597
671,671,116.79,45.46,Clear,97.53,0.367
676,676,116.50,45.97,Clear,31.59,-0.333
681,681,116.06,45.92,Clear,44.77,0.722
686,686,115.26,47.52,Clear,29.60,3.923
691,691,116.52,45.19,Clear,26.75,1.590
696,696,116.71,45.13,Clear,42.74,1.940
701,701,118.42,43.72,Clear,53.84,0.033
706,706,118.52,43.52,Clear,26.15,0.255
711,711,118.95,43.49,Clear,156.93,-1.301
716,716,119.41,43.02,Clear,26.89,1.143
721,721,118.84,43.42,Clear,32.35,1.609
726,726,118.50,43.47,Clear,51.58,0.837
731,731,117.69,43.67,Clear,25.49,0.913
736,736,115.45,45.94,Clear,1125.89,1.505
741,741,115.24,42.43,Clear,37.80,-1.996
746,746,116.50,43.31,Clear,27.84,1.230
751,751,117.68,42.19,Clear,49.94,1.592
756,756,115.45,43.86,Clear,28.02,-4.143
761,761,117.13,43.13,Clear,39.34,-0.892
766,766,118.24,43.21,Clear,34.36,2.043
771,771,119.49,42.96,Clear,85.91,1.020
776,776,122.40,40.23,Clear,49.98,1.427
781,781,119.55,42.80,Clear,42.89,-0.709
786,786,119.98,42.75,Clear,39.30,-1.401
791,791,119.77,43.84,Clear,42.53,-0.909
796,796,119.62,44.02,Clear,43.09,1.535
801,801,119.52,43.83,Clear,32.59,2.627
806,806,119.25,43.95,Clear,30.63,1.197
811,811,115.55,47.64,Clear,468.63,3.107
816,816,119.98,40.30,Clear,73.28,3.278
821,821,121.24,40.64,Clear,25.31,3.387
826,826,121.78,40.85,Clear,63.42,-0.438
831,831,121.85,41.18,Clear,32.52,-1.861
836,836,120.82,43.78,Clear,53.87,0.174
841,841,121.70,40.86,Clear,69.60,1.109
846,846,121.93,41.11,Clear,36.54,-1.164
851,851,121.89,41.46,Clear,126.47,-0.164
856,856,120.84,42.54,Clear,44.18,-0.136
861,861,122.13,41.62,Clear,34.85,-1.334
866,866,120.66,43.11,Clear,67.38,-0.369
871,871,122.00,39.36,Clear,29.45,-1.157
876,876,123.51,40.01,Clear,34.60,0.197
881,881,123.16,41.00,Clear,59.21,-0.358
886,886,123.20,41.75,Clear,30.19,0.431
891,891,123.48,41.83,Clear,30.75,2.524
896,896,124.10,41.26,Clear,46.88,3.604
901,901,124.75,41.78,Clear,38.02,-1.095
906,906,123.97,41.70,Clear,32.50,0.591
911,911,126.03,42.58,Clear,38.85,3.239
916,916,122.08,42.50,Clear,28.38,0.931
921,921,123.00,42.31,Clear,78.58,-0.923
926,926,126.20,38.37,Clear,112.50,-0.444
931,931,122.88,42.38,Clear,34.11,2.344
936,936,122.34,42.97,Clear,1917.70,3.569
941,941,122.69,43.31,Clear,31.03,0.583
946,946,121.91,43.60,Clear,98.74,2.687
951,951,122.28,43.49,Clear,241.55,1.793
956,956,121.70,44.43,Clear,26.02,2.940
961,961,121.75,44.08,Clear,483.25,0.320
966,966,121.41,44.62,Clear,94.30,0.122
971,971,121.40,44.33,Clear,29.16,-0.043
976,976,121.98,43.39,Clear,33.25,2.293
981,981,121.12,43.92,Clear,398.67,-0.227
986,986,121.12,44.35,Clear,27.28,4.234
991,991,120.82,44.03,Clear,46.68,1.397
996,996,120.35,44.54,Clear,27.67,1.019
1001,1001,109.25,49.25,Clear,560.26,2.506
1006,1006,118.58,44.32,Clear,30.45,2.414
1011,1011,118.66,47.05,Clear,94.13,3.389
1016,1016,119.24,44.92,Clear,79.10,2.099
1021,1021,113.08,47.11,Clear,52.85,0.500
1026,1026,118.22,43.31,Clear,56.09,0.578
1031,1031,119.62,43.79,Clear,41.82,2.978
1036,1036,119.82,44.19,Clear,179.16,-0.076
1041,1041,119.37,44.17,Clear,62.79,-0.315
1046,1046,119.25,44.59,Clear,475.96,0.571
1051,1051,119.17,44.59,Clear,34.06,0.759
1056,1056,119.83,44.04,Clear,53.95,1.031
1061,1061,119.94,44.09,Clear,37.97,2.739
1066,1066,119.77,44.14,Clear,270.10,2.056
1071,1071,119.68,44.31,Clear,92.76,-0.183
1076,1076,119.54,43.96,Clear,48.51,1.168
1081,1081,119.92,44.17,Clear,329.45,0.107
1086,1086,119.55,44.57,Clear,48.98,-0.581
1091,1091,119.69,44.72,Clear,30.76,1.318
1096,1096,118.79,47.57,Clear,330.82,0.216
1101,1101,120.03,44.61,Clear,70.81,-0.838
1106,1106,119.80,44.69,Clear,38.41,-0.689
1111,1111,119.39,45.95,Clear,282.02,-0.169
1116,1116,119.95,44.99,Clear,123.38,1.242
1121,1121,120.11,44.70,Clear,97.00,-0.033
1126,1126,119.59,44.82,Clear,65.63,0.479
1131,1131,120.43,44.78,Clear,37.26,-0.698
1136,1136,121.13,43.48,Clear,43.01,-0.871
1141,1141,120.62,43.61,Clear,29.49,0.695
1146,1146,109.58,49.50,Clear,47.77,3.599
1151,1151,118.65,43.11,Clear,90.67,2.997
1156,1156,119.65,43.11,Clear,135.20,2.961
1161,1161,119.27,44.52,Clear,37.57,0.495
1166,1166,119.39,43.67,Clear,26.82,-1.721
1171,1171,119.71,42.58,Clear,32.36,-4.588
1176,1176,59.14,48.00,Clear,236.67,-9.313
1181,1181,118.58,42.30,Clear,342.63,-0.949
1186,1186,119.11,43.08,Clear,45.48,-1.506
1191,1191,119.85,42.56,Clear,44.02,-2.599
1196,1196,119.19,42.84,Clear,69.46,-0.324
1201,1201,117.58,44.17,Clear,36.71,-0.039
1206,1206,117.93,43.93,Clear,63.97,-0.840
1211,1211,117.09,44.37,Clear,92.54,0.320
1216,1216,117.30,43.88,Clear,35.93,-2.065
1221,1221,117.96,43.72,Clear,132.78,0.116
1226,1226,119.13,40.55,Clear,57.69,1.232
1231,1231,119.09,41.53,Clear,46.99,2.321
1236,1236,117.21,42.68,Clear,1575.18,4.758
1241,1241,119.66,41.04,Clear,56.85,-2.061
1246,1246,117.12,41.68,Clear,35.35,-1.040
1251,1251,114.63,44.82,Clear,38.57,-0.515
1256,1256,115.89,43.87,Clear,31.03,-2.284
1261,1261,116.92,44.18,Clear,36.74,-0.361
1266,1266,117.51,43.50,Clear,41.54,-1.605
1271,1271,117.55,43.84,Clear,37.24,-1.792
1276,1276,119.04,41.64,Clear,29.33,-0.078
1281,1281,118.75,41.68,Clear,49.85,-1.529
1286,1286,118.45,40.78,Clear,27.67,-3.749
1291,1291,117.87,41.32,Clear,34.37,-4.619
1296,1296,116.66,42.55,Clear,31.12,-5.407
1301,1301,117.45,41.00,Clear,37.51,-3.268
1306,1306,117.73,41.10,Clear,28.27,-3.566
1311,1311,114.84,42.42,Clear,27.89,-3.144
1316,1316,114.22,40.81,Clear,43.52,1.743
1321,1321,109.92,46.57,Clear,43.29,0.445
1326,1326,115.42,44.92,Clear,40.06,-0.873
1331,1331,110.90,45.66,Clear,151.43,1.302
1336,1336,111.93,45.19,Clear,37.09,-1.859
1341,1341,109.94,45.68,Clear,27.15,-3.858
1346,1346,111.03,44.03,Clear,27.53,-3.728
1351,1351,108.39,47.01,Clear,161.71,-0.129
1356,1356,108.37,43.07,Clear,57.19,1.729
1361,1361,112.06,42.45,Clear,34.38,-1.816
1366,1366,112.46,41.41,Clear,34.67,2.480
1371,1371,110.11,44.49,Clear,119.83,1.016
1376,1376,110.84,41.56,Clear,64.80,1.782
1381,1381,107.52,43.56,Clear,35.71,1.257
1386,1386,111.62,41.02,Clear,338.62,-0.643
1391,1391,112.03,41.13,Clear,109.77,2.650
1396,1396,108.99,43.45,Clear,144.65,2.197
1401,1401,107.56,46.39,Clear,26.26,1.830
1406,1406,111.34,41.02,Clear,152.52,3.076
1411,1411,111.55,43.00,Clear,29.73,5.375
1416,1416,107.26,46.27,Clear,27.31,4.647
1421,1421,106.76,46.51,Clear,40.25,-2.294
1426,1426,109.00,43.30,Clear,28.26,1.624
1431,1431,110.38,44.01,Clear,44.35,1.387
1436,1436,111.46,42.30,Clear,34.64,-1.542
1441,1441,111.01,42.78,Clear,30.02,2.222
1446,1446,111.47,41.81,Clear,46.67,-3.061
1451,1451,110.65,42.48,Clear,29.81,2.202
1456,1456,132.96,48.54,Clear,37.95,2.109
1461,1461,111.78,42.58,Clear,49.64,-3.220
1466,1466,110.86,43.25,Clear,30.84,-1.199
1471,1471,112.95,42.61,Clear,27.29,-0.912
1476,1476,113.22,42.00,Clear,50.03,1.641
1481,1481,112.85,42.49,Clear,42.36,1.446
1486,1486,113.30,42.73,Clear,75.66,-2.600
1491,1491,113.79,41.95,Clear,63.65,-3.840
1496,1496,113.55,42.59,Clear,39.44,-2.302
1501,1501,113.55,42.58,Clear,31.34,-1.726
1506,1506,113.75,42.68,Clear,94.64,3.038
1511,1511,113.72,43.09,Clear,35.80,-0.446
1516,1516,113.98,42.86,Clear,46.52,-1.097
1521,1521,113.27,43.99,Clear,28.42,-1.018
1526,1526,113.60,43.54,Clear,37.44,-2.873
1531,1531,114.24,43.30,Clear,37.16,0.114
1536,1536,114.22,43.22,Clear,36.40,-0.190
1541,1541,114.56,42.70,Clear,35.54,-2.725
1546,1546,113.87,43.75,Clear,59.83,-3.772
1551,1551,113.53,44.52,Clear,39.05,-3.239
1556,1556,113.35,44.95,Clear,56.50,-4.207
1561,1561,113.19,45.27,Clear,124.53,-0.694
1566,1566,112.98,45.53,Clear,49.29,-2.133
1571,1571,113.45,45.81,Clear,74.81,0.668
1576,1576,115.11,45.45,Clear,53.75,-3.737
1581,1581,116.21,45.45,Clear,30.43,-1.613
1586,1586,118.33,44.58,Clear,59.95,-0.903
1591,1591,118.56,44.18,Clear,74.23,-1.360
1596,1596,118.30,44.67,Clear,59.18,1.611
1601,1601,117.15,46.08,Clear,26.85,1.924
1606,1606,117.86,44.52,Clear,25.02,0.802
1611,1611,118.36,44.17,Clear,90.18,-0.164
1616,1616,119.60,44.64,Clear,25.68,0.458
1621,1621,120.12,43.41,Clear,107.21,-0.023
1626,1626,119.83,44.15,Clear,741.87,1.146
1631,1631,119.01,45.30,Clear,181.31,-0.034
1636,1636,119.10,45.17,Clear,25.87,0.234
1641,1641,119.22,45.50,Clear,80.04,-0.064
1646,1646,118.83,46.89,Clear,40.06,0.013
1651,1651,118.74,47.04,Clear,859.71,-0.283
1656,1656,118.43,47.33,Clear,28.14,-2.865
1661,1661,116.75,48.73,Clear,38.53,-0.324
1666,1666,116.54,49.30,Clear,44.21,-1.862
1671,1671,116.91,48.68,Clear,37.16,-1.685
1676,1676,117.58,47.15,Clear,37.80,3.954
1681,1681,102.61,58.71,Clear,41.46,-0.648
1686,1686,113.40,48.17,Clear,81.93,3.220
1691,1691,116.29,46.63,Clear,30.14,0.942
1696,1696,117.46,46.54,Clear,235.73,0.289
1701,1701,117.01,47.11,Clear,34.48,2.130
1706,1706,116.65,48.14,Clear,44.50,2.863
1711,1711,117.44,47.03,Clear,116.05,2.903
1716,1716,118.39,45.47,Clear,30.07,1.572
1721,1721,119.32,44.13,Clear,45.83,-1.638
1726,1726,119.40,43.91,Clear,29.69,0.506
1731,1731,118.70,44.10,Clear,46.21,-0.863
1736,1736,118.94,44.04,Clear,25.52,-2.393
1741,1741,118.76,43.97,Clear,31.62,-1.600
1746,1746,118.84,44.04,Clear,72.61,-1.098
1751,1751,118.80,43.95,Clear,61.86,1.506
1756,1756,118.41,44.13,Clear,35.13,0.048
1761,1761,114.88,45.50,Clear,50.96,2.232
1766,1766,117.22,42.77,Clear,29.02,0.124
1771,1771,118.77,43.23,Clear,40.32,1.820
1776,1776,118.87,43.00,Clear,55.70,1.322
1781,1781,119.36,43.21,Clear,455.12,0.694
1786,1786,118.84,43.47,Clear,47.35,-4.233
1791,1791,119.44,43.09,Clear,40.59,-1.875
1796,1796,118.66,43.41,Clear,36.60,-1.686
1801,1801,118.75,45.21,Clear,107.83,-1.929
