frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
486,486,91.9,44.83,Clear,109.81,1.802,part1_grapevine
491,491,92.81,43.65,Clear,157.65,0.615,part1_grapevine
496,496,99.39,43.72,Clear,68.4,1.229,part1_grapevine
501,501,101.24,44.9,Clear,52.89,0.84,part1_grapevine
506,506,98.38,44.61,Clear,69.77,2.482,part1_grapevine
511,511,94.04,45.52,Clear,99.93,-0.516,part1_grapevine
516,516,93.59,42.99,Clear,48.39,-0.766,part1_grapevine
521,521,96.95,44.44,Clear,54.14,2.345,part1_grapevine
526,526,93.36,46.9,Clear,64.44,-0.162,part1_grapevine
531,531,95.79,43.48,Clear,528.62,2.325,part1_grapevine
536,536,92.07,46.24,Clear,56.42,0.58,part1_grapevine
541,541,96.14,46.26,Clear,169.58,1.377,part1_grapevine
546,546,85.03,48.66,Clear,31.13,1.987,part1_grapevine
551,551,98.89,41.99,Clear,97.29,-0.013,part1_grapevine
556,556,90.19,45.36,Clear,72.36,0.592,part1_grapevine
561,561,90.2,48.06,Clear,57.68,2.26,part1_grapevine
566,566,93.89,45.37,Clear,98.44,0.362,part1_grapevine
571,571,94.05,47.29,Clear,49.37,0.882,part1_grapevine
576,576,88.01,45.32,Clear,47.9,-0.089,part1_grapevine
581,581,90.88,42.68,Clear,325.49,-0.083,part1_grapevine
586,586,87.66,48.91,Clear,39.57,-1.225,part1_grapevine
591,591,93.43,46.11,Clear,47.18,0.086,part1_grapevine
596,596,91.0,46.18,Clear,456.62,2.37,part1_grapevine
601,601,91.77,48.33,Clear,29.27,3.074,part1_grapevine
606,606,94.96,47.23,Clear,108.95,0.221,part1_grapevine
611,611,97.78,45.44,Clear,45.72,1.292,part1_grapevine
616,616,96.02,42.64,Clear,98.52,-0.056,part1_grapevine
621,621,100.11,41.61,Clear,79.31,-0.212,part1_grapevine
626,626,97.66,41.48,Clear,171.8,0.044,part1_grapevine
631,631,93.04,47.73,Clear,72.12,-1.127,part1_grapevine
636,636,89.08,50.92,Clear,33.44,-3.673,part1_grapevine
641,641,100.62,48.72,Clear,32.46,2.326,part1_grapevine
646,646,88.44,46.78,Clear,1012.97,0.167,part1_grapevine
651,651,94.92,47.21,Clear,47.26,1.98,part1_grapevine
656,656,96.25,43.42,Clear,52.57,0.872,part1_grapevine
661,661,95.27,44.84,Clear,234.57,0.509,part1_grapevine
666,666,93.7,46.21,Clear,23.45,1.563,part1_grapevine
671,671,86.67,47.14,Clear,137.75,1.26,part1_grapevine
676,676,88.58,44.57,Clear,177.01,0.37,part1_grapevine
681,681,91.09,42.7,Clear,53.58,0.308,part1_grapevine
686,686,78.56,49.97,Clear,110.48,3.054,part1_grapevine
691,691,87.02,45.95,Clear,27.88,3.943,part1_grapevine
696,696,83.68,50.71,Clear,66.23,1.393,part1_grapevine
701,701,85.74,52.0,Clear,34.99,-0.801,part1_grapevine
706,706,83.37,51.25,Clear,36.58,2.331,part1_grapevine
711,711,84.33,52.82,Clear,55.77,-2.586,part1_grapevine
716,716,87.57,53.85,Clear,54.37,-0.337,part1_grapevine
721,721,87.34,48.84,Clear,157.5,0.606,part1_grapevine
726,726,56.43,53.56,Clear,21.91,3.263,part1_grapevine
731,731,76.6,49.34,Clear,30.86,-1.428,part1_grapevine
736,736,129.54,63.94,Clear,1865.06,-0.037,part1_grapevine
741,741,107.89,43.21,Clear,155.74,-0.238,part1_grapevine
746,746,112.05,41.73,Clear,324.11,-0.116,part1_grapevine
751,751,109.84,44.51,Clear,185.24,0.284,part1_grapevine
756,756,108.51,48.09,Clear,228.04,0.381,part1_grapevine
761,761,104.89,46.51,Clear,113.52,0.802,part1_grapevine
766,766,106.1,47.69,Clear,332.54,0.0,part1_grapevine
771,771,107.31,46.16,Clear,159.48,-0.767,part1_grapevine
